Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3;lat;lag
Looking;2015;San Francisco Citizens Band, 1198 Folsom Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7752421;-122,4101313
Looking;2015;San Francisco 1111 California Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7911608;-122,4129317
Looking;2015;San Francisco 950 Mason Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7923883;-122,4100923
Looking;2015;San Francisco SF Zoo, 2945 Sloat Blvd;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7333055;-122,5043292
Looking;2015;San Francisco 1246 Folsom Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7745964;-122,4109994
Looking;2015;San Francisco 68 Division Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7700948;-122,4026916
Looking;2015;San Francisco 8 Octavia Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7726231;-122,4234103
Looking;2015;San Francisco 1890 Clay Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7922528;-122,4238729
Looking;2015;San Francisco Tonga Room, Fairmont Hotel, 950 Mason Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7921357;-122,4099773
Looking;2015;San Francisco Muddy Waters, 521 Valencia Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7645094;-122,4216882
Looking;2015;San Francisco Mission Arts Center, 2450 Harrison Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,758201;-122,412999
Looking;2015;San Francisco 8 Octavia Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7726231;-122,4234103
Looking;2015;San Francisco BART Station @ 16th Street & Mission Streets;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7648438;-122,419949
Looking;2015;San Francisco 67 Deming Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7603405;-122,4457286
Looking;2015;San Francisco Twin Peaks Park;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7525098;-122,4475683
Looking;2015;San Francisco Vega Coffee, 1245 Folsom Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7746094;-122,4110331
Looking;2015;San Francisco SF City Hall Polk Street Steps;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7792597;-122,4192646
Looking;2015;San Francisco Mission Street @ 22nd Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7554447;-122,4187761
Looking;2015;San Francisco Willy's Barber shop, 3227 22nd Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,7552116;-122,419437
Looking;2015;San Francisco Mission Rec Center, 2450 Harrison Street;;Mission Street Productions, LLC;HBO;Andrew Haigh;Michael Lannan;Jonathan Groff;Frankie Alvarez;Murray Bartlett;37,758201;-122,412999
Love & Taxes;2014;San Francisco The Marsh Theatre (1062 Valencia Street);;Bad Company Films;;Jacob Kornbluth;Jacob Kornbluth;Jacob Kornbluth;;;37,755731;-122,421229
Love & Taxes;2014;San Francisco 20 Hill Street;;Bad Company Films;;Jacob Kornbluth;Jacob Kornbluth;Jacob Kornbluth;;;37,756288;-122,422018
Love & Taxes;2014;San Francisco 198 Gough Street;;Bad Company Films;;Jacob Kornbluth;Jacob Kornbluth;Jacob Kornbluth;;;37,7748799;-122,4223778
Magnum Force;1973;San Francisco Cost Plus World Market (2552 Taylor Street);;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,8059172;-122,4145599
Magnum Force;1973;San Francisco Vermont Street between 20th and 22nd Streets;;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7558455;-122,4122264
Magnum Force;1973;San Francisco San Francisco International Airport;SFO has a museum dedicated to aviation history. ;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,6213129;-122,3789554
Magnum Force;1973;San Francisco San Francisco Drydock (20th and Illinois Streets);;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7605602;-122,3875894
Magnum Force;1973;San Francisco Pacific Heights Towers (2200 Sacramento Street, Pacific Heights);;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,790681;-122,429498
Magnum Force;1973;San Francisco Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin);"This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.";The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7768127;-122,3902272
Magnum Force;1973;San Francisco Hall of Justice (850 Bryant Street);;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,775471;-122,4037169
Magnum Force;1973;San Francisco Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,8190603;-122,4781232
Magnum Force;1973;San Francisco Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7923723;-122,4105611
Magnum Force;1973;San Francisco Embarcadero Freeway;demolished;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7881524;-122,2512872
Magnum Force;1973;San Francisco City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7792597;-122,4192646
Magnum Force;1973;San Francisco Broadway Tunnel (Russian Hill);;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7967331;-122,4148881
Magnum Force;1973;San Francisco 280 Freeway at Pennsylvania and Mariposa Streets;;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7630607;-122,3935696
Magnum Force;1973;San Francisco 2190 Washington Street (Pacific Heights);;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7925895;-122,4291618
Magnum Force;1973;San Francisco 18th Street Overpass (Potrero Hill);;The Malpaso Company;Warner Bros. Pictures;Ted Post;John Milius;Clint Eastwood;Hal Holbrook;Mitchell Ryan;37,7626441;-122,395581
Marnie;1964;San Francisco On Board the SS President Cleveland, docked at Pier 50;;Universal Pictures;Universal Pictures;Alfred Hitchcock;Jay Presson Allen;Tippi Hedren;Sean Connery;Martin Gabel;37,7749295;-122,4194155
Maxie;1985;San Francisco Asian Art Museum (200 Larkin Street, Civic Center);The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.;Elsboy Entertainment;Orion Pictures Corporation;Paul Aaron;Patricia Resnick;Glenn Close;Mandy Patinkin;Ruth Gordon;37,7801637;-122,4161985
Maxie;1985;San Francisco Grace Cathedral Episcopal Church (1100 California Street);Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.;Elsboy Entertainment;Orion Pictures Corporation;Paul Aaron;Patricia Resnick;Glenn Close;Mandy Patinkin;Ruth Gordon;37,7918581;-122,4134328
Maxie;1985;San Francisco 722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley);The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.;Elsboy Entertainment;Orion Pictures Corporation;Paul Aaron;Patricia Resnick;Glenn Close;Mandy Patinkin;Ruth Gordon;37,7762593;-122,432758
Memoirs of an Invisible Man;1992;San Francisco St. Elizabeth Apartment House (901 Powell Street at Sacramento);;Warner Bros. Pictures;Warner Bros. Pictures;John Carpenter;Robert Collector;Chevy Chase;Daryl Hannah;Sam Neill;37,7930902;-122,4095704
Metro;1997;San Francisco Bush Street at Jones;;Touchstone Pictures;Buena Vista Pictures;Thomas Carter;Randy Feldman;Eddie Murphy;;;37,7895396;-122,4137511
Midnight Lace;1960;San Francisco Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Arwin Productions;Universal Pictures;David Miller;Ivan Goff;Doris Day;Rex Harrison;John Gavin;37,7923723;-122,4105611
Milk;2008;San Francisco Duboce Park;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7676788;-122,4318604
Milk;2008;San Francisco City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7792597;-122,4192646
Milk;2008;San Francisco Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7941378;-122,4077914
Milk;2008;San Francisco 424 Sansome Street;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7943783;-122,4011249
Milk;2008;San Francisco 29th and Dolores Street;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7438243;-122,4244836
Milk;2008;San Francisco El Camino Del Mar;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7857877;-122,4962368
Milk;2008;San Francisco Treasure Island;An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,8235515;-122,370648
Milk;2008;San Francisco Market & Castro Street;"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.";Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,795581;-122,393411
Milk;2008;San Francisco Marine Fireman's Union Headquarters;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,786052;-122,3977242
Milk;2008;San Francisco Lower Haight Street;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7716959;-122,4337525
Pushing Dead;2016;San Francisco 1069 Tennessee Street;;Pushing Dead , LLC;TBD;Tom Brown;Tom Brown;Danny Glover;James Roday;Robin Weigert;37,7583843;-122,388873
Milk;2008;San Francisco Grace Cathedral Episcopal Church (1100 California Street);Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,7918581;-122,4134328
Milk;2008;San Francisco Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;;37,8190603;-122,4781232
Mission (aka City of Bars);2001;San Francisco The 500 Club (500 Guerrero Street, Mission District);;NA;NA;Loren Marsh;Loren Marsh;Chris Coburn;;;37,7630418;-122,4241468
Mission (aka City of Bars);2001;San Francisco Mission Dolores Park (Mission District);The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.;NA;NA;Loren Marsh;Loren Marsh;Chris Coburn;;;37,7596168;-122,4269038
Mona Lisa Smile;2003;San Francisco ;;Revolution Studios;Columbia Pictures;Mike Newell;Lawrence Konner;Julia Roberts;Kirsten Dunst;;37,7749295;-122,4194155
Mother;1996;San Francisco Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Paramount Pictures;Paramount Pictures;Albert Brooks;Albert Brooks;Albert Brooks;Debbie Reynolds;;37,8190603;-122,4781232
Mother;1996;San Francisco Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Paramount Pictures;Paramount Pictures;Albert Brooks;Albert Brooks;Albert Brooks;Debbie Reynolds;;37,7923723;-122,4105611
Mrs. Doubtfire;1993;San Francisco 1200 Washington Street at Taylor Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan;37,7943426;-122,4130289
Mrs. Doubtfire;1993;San Francisco Hancock School (940 Filbert Street);;Twentieth Century Fox Film;Twentieth Century Fox Film;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan;37,8018935;-122,4067497
Mrs. Doubtfire;1993;San Francisco Danilo's Bakery (Green Street & Bannam Place);;Twentieth Century Fox Film;Twentieth Century Fox Film;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan;37,7997429;-122,407789
Mrs. Doubtfire;1993;San Francisco Chrissy Field;Chrissy Field was originally an airfield for the Presidio Army Base. ;Twentieth Century Fox Film;Twentieth Century Fox Film;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan;37,8040257;-122,4650165
Mrs. Doubtfire;1993;San Francisco 520-522A Green Street at Grant Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan;37,7997122;-122,4074155
Mrs. Doubtfire;1993;San Francisco 516 Green Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan;37,7998378;-122,4078056
Mrs. Doubtfire;1993;San Francisco 100 Embarcadero Street;;Twentieth Century Fox Film;Twentieth Century Fox Film;Chris Columbus;Randi Mayem Singer;Robin Williams;Sally Field;Pierce Brosnan;37,7933939;-122,3925928
Murder in the First;2014;San Francisco 1821 Alabama Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7439932;-122,4101698
Murder in the First;2014;San Francisco Hall of Justice (850 Bryant Street);;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,775471;-122,4037169
Murder in the First;2014;San Francisco Cameron House (920 Sacramento Street);;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7932786;-122,4084188
Murder in the First;2014;San Francisco 504 Broadway;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,798165;-122,4056481
Murder in the First;2014;San Francisco 9 Calhoun Terrace;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,8007566;-122,4038752
Murder in the First;2014;San Francisco AT&T Park;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7749295;-122,4194155
Murder in the First;2014;San Francisco Berry Street between 3rd and 4th Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7503065;-122,3877274
Murder in the First;2014;San Francisco Kearny Street between Broadway and Pacific Avenue;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7975592;-122,4054381
Murder in the First;2014;San Francisco 731 Grant Avenue;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7937592;-122,4063094
Murder in the First;2014;San Francisco Waverly Alley between Grant and Sacramento Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7942004;-122,4068477
Murder in the First;2014;San Francisco Joice Street at Clay Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7939604;-122,4087083
Murder in the First;2014;San Francisco Palace of Fine Arts (3301 Lyon Street);;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,8029577;-122,4491929
Murder in the First;2014;San Francisco 800 Bay Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,804891;-122,420441
Murder in the First;2014;San Francisco 1201 Columbus Avenue;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,8053237;-122,4179462
Murder in the First;2014;San Francisco Pier 45;The famous Musee Mecanique is located on Pier 45;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,8093233;-122,417095
Murder in the First;2014;San Francisco 369 Embarcadero;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,790813;-122,3893598
Murder in the First;2014;San Francisco Dolores Park;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7596168;-122,4269038
Murder in the First;2014;San Francisco 24th Street between Folsom and Harrison Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,761877;-122,4149987
Murder in the First;2014;San Francisco 13 Lucky Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7522478;-122,413422
Murder in the First;2014;San Francisco 1541 Grove Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,775158;-122,442046
Murder in the First;2014;San Francisco Ida B. Wells High School (1099 Hayes Street);Ida B. Wells High School is named after the African-American journalist, suffragist and early leader in the Civil Rights Movement Ida B. Wells;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7750892;-122,4340281
Murder in the First;2014;San Francisco Alamo Square Park;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7763694;-122,434819
Murder in the First;2014;San Francisco 50 California Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7940487;-122,3973037
Murder in the First;2014;San Francisco 373 Columbus Avenue;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7983786;-122,4078578
Murder in the First;2014;San Francisco 350 Union Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,801101;-122,4053576
Murder in the First;2015;San Francisco Potrero Hill Recreation Center (801 Arkansas Street);;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7561624;-122,3972493
Murder in the First;2015;San Francisco 1243 19th Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7611935;-122,3952459
Murder in the First;2015;San Francisco 372/374 Pennsylvania Avenue;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7617862;-122,393848
Murder in the First;2015;San Francisco Stevenson Alley;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7800694;-122,4118851
Murder in the First;2015;San Francisco 901 Missouri Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7548219;-122,3955818
Murder in the First;2015;San Francisco 83 Watchman Way;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7550507;-122,3950942
Murder in the First;2015;San Francisco 1059 Texas Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7529055;-122,3946294
Murder in the First;2015;San Francisco Sue Bierman Park;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7961171;-122,396016
Murder in the First;2015;San Francisco Embarcadero Street at Washington Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7966899;-122,3956093
Murder in the First;2015;San Francisco Treasure Island;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,8235515;-122,370648
Murder in the First;2015;San Francisco Pier 50;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7739371;-122,3848022
Murder in the First;2015;San Francisco 435 Broadway;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7980182;-122,4044996
Murder in the First;2015;San Francisco Columbus Avenue between Washington and Bay Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,8008473;-122,4099791
Murder in the First;2015;San Francisco Grant Avenue between Clay and Washington Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7974867;-122,4069752
Murder in the First;2015;San Francisco 1400 16th Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7668643;-122,4013308
Murder in the First;2015;San Francisco Pennsylvania Avenue at 19th Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7614837;-122,3935108
Murder in the First;2015;San Francisco Harriet Street between Bryant and Brannan Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7747389;-122,4022683
Murder in the First;2015;San Francisco Boardman Place between Bryant and Brannan Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7732198;-122,4061096
Murder in the First;2016;San Francisco Golden Gate Park;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7694208;-122,4862138
Murder in the First;2016;San Francisco Civic Center Plaza;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,9363316;-122,3434992
Murder in the First;2016;San Francisco 500 Grove Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7777521;-122,4250694
Murder in the First;2016;San Francisco 600 Octavia Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7778237;-122,4247155
Murder in the First;2016;San Francisco 535 Octavia Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,777229;-122,4249441
Murder in the First;2016;San Francisco Patricia's Green;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7762408;-122,4244258
Murder in the First;2016;San Francisco Ivy Street between Laguna and Gough Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7876567;-122,428551
Murder in the First;2016;San Francisco Linden Alley between Octavia and Gough Streets;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7878645;-122,4269008
Murder in the First;2016;San Francisco Hall of Justice (850 Bryant Street);;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,775471;-122,4037169
Murder in the First;2016;San Francisco Harriet Alley;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7764971;-122,4041981
Murder in the First;2016;San Francisco Howard Street at Steuart Street;;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7920034;-122,3916688
Murder in the First;2016;San Francisco Red's Java House (Pier 30);;Turner North Center Productions;Turner Network Television;Steven Bochcho;Eric Lodal;Taye Diggs;Kathleen Robertson;Ian Anthony Dale;37,7872148;-122,3874311
